지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
130,울진,2026-06-17 23:00,20.8,,.7,,2.2,,180,,97,,23.8,20.3,1004.2,,1009.9,,,9,,9,,,10,0,,,467,,,22.3,,,,,
130,울진,2026-06-18 00:00,21.4,,.2,,2,,180,,98,,24.9,21,1004,,1009.7,,,9,,9,,,10,0,,,844,,,22.3,,,,,
136,안동,2026-06-17 01:00,20.3,,,,.2,,0,,72,,17,15,998.6,,1015,,,9,,9,,,0,0,,,5000,,,20.1,,,,,
136,안동,2026-06-17 02:00,19.5,,,,.2,,0,,77,,17.4,15.3,998.5,,1015,,,9,,9,,,0,0,,,5000,,,19.3,,,,,
136,안동,2026-06-17 03:00,19.2,,,,0,,0,,77,,17,15,998.1,,1014.6,,,9,,9,,,0,0,,,5000,,,19,,,,,
136,안동,2026-06-17 04:00,18.3,,,,0,,0,,84,,17.6,15.5,998.1,,1014.6,,,9,,9,,,0,0,,,4375,,,18.3,,,,,
136,안동,2026-06-17 05:00,18.1,,,,1,,90,,82,,16.9,14.9,998.3,,1014.8,,,9,,9,,,0,0,,,4517,,,18.1,,,,,
136,안동,2026-06-17 06:00,18.4,,,,0,,0,,81,,17,15,998.3,,1014.8,,.1,,.08,,,,6,0,,,4493,,,19.2,,,,,
136,안동,2026-06-17 07:00,20.3,,,,1,,140,,76,,18.1,15.9,997.8,,1014.2,,.9,,.68,,,,0,0,,,4902,,,25,,,,,
136,안동,2026-06-17 08:00,23.5,,,,1.1,,200,,67,,19.4,17,997.5,,1013.7,,1,,1.41,,,,7,7,,35,4983,,,36,,,,,
136,안동,2026-06-17 09:00,24.8,,,,1.9,,110,,64,,20,17.5,997.5,,1013.6,,.8,,1.93,,,,6,1,,31,5000,,,41.5,,,,,
136,안동,2026-06-17 10:00,26.1,,,,.9,,110,,57,,19.2,16.9,997.3,,1013.3,,.5,,2.19,,,,7,2,,28,5000,,,45.6,,,,,
136,안동,2026-06-17 11:00,27.6,,,,1.7,,290,,54,,19.9,17.4,996.5,,1012.4,,.8,,2.89,,,,1,1,,28,5000,,,54.9,,,,,
136,안동,2026-06-17 12:00,29.7,,,,1,,140,,45,,18.6,16.4,995.6,,1011.4,,1,,3.5,,,,1,0,,,5000,,,58.5,,,,,
136,안동,2026-06-17 13:00,32,,,,1.2,,200,,38,,17.9,15.8,994.9,,1010.6,,1,,3.61,,,,2,0,,,5000,,,60.4,,,,,
136,안동,2026-06-17 14:00,31.8,,,,1.3,,340,,40,,18.8,16.5,994.1,,1009.8,,.8,,2.87,,,,8,4,,24,5000,,,55.3,,,,,
136,안동,2026-06-17 15:00,33,,,,2.4,,250,,37,,18.5,16.3,993.4,,1009,,1,,2.77,,,,7,2,,20,5000,,,53.1,,,,,
136,안동,2026-06-17 16:00,31.7,,,,1.9,,200,,42,,19.6,17.2,993.1,,1008.7,,.2,,1.2,,,,7,7,,20,5000,,,43,,,,,
136,안동,2026-06-17 17:00,31,,,,1.9,,200,,45,,20.1,17.6,992.7,,1008.4,,0,,.62,,,,8,5,,18,4174,,,37.5,,,,,
136,안동,2026-06-17 18:00,30.4,,,,1.9,,200,,48,,20.8,18.1,992.7,,1008.4,,0,,.18,,,,9,7,,18,4931,,,34,,,,,
136,안동,2026-06-17 19:00,29.7,,,,.8,,270,,52,,21.6,18.7,993.1,,1008.9,,0,,.08,,,,10,8,,17,5000,,,32,,,,,
136,안동,2026-06-17 20:00,22.9,,1.4,,3.4,,320,,82,,22.8,19.6,994.2,,1010.4,,0,,0,,,,10,10,,15,557,,1904,25.1,,,,,
136,안동,2026-06-17 21:00,22.8,,.8,,.8,,200,,89,,24.6,20.8,995,,1011.2,,,9,,9,,,10,9,,13,3354,,1904,24.7,,,,,
136,안동,2026-06-17 22:00,22,,2,,1.1,,290,,91,,24,20.4,995.5,,1011.7,,,9,,9,,,10,10,,11,556,,1904,24,,,,,
136,안동,2026-06-17 23:00,21.8,,2.5,,1,,320,,93,,24.3,20.6,995.2,,1011.5,,,9,,9,,,10,10,,2,769,,1904,23.7,,,,,
136,안동,2026-06-18 00:00,22,,2.4,,.1,,0,,94,,24.7,20.9,994.7,,1010.9,,,9,,9,,,9,9,,2,1910,,1904,23.7,,,,,
137,상주,2026-06-17 01:00,21.7,,,,.8,,320,,74,,19.1,16.8,1001.6,,1012.8,,,9,,9,,,0,0,,,4386,,,21.8,,,,,
137,상주,2026-06-17 02:00,21.1,,,,.7,,340,,76,,18.9,16.6,1001.7,,1012.9,,,9,,9,,,0,0,,,4449,,,21.2,,,,,
137,상주,2026-06-17 03:00,20.1,,,,.8,,320,,79,,18.5,16.3,1001.3,,1012.5,,,9,,9,,,0,0,,,4166,,,20.4,,,,,
137,상주,2026-06-17 04:00,19.6,,,,.9,,320,,80,,18.2,16,1001.3,,1012.5,,,9,,9,,,0,0,,,3969,,,19.7,,,,,
137,상주,2026-06-17 05:00,19.7,,,,0,,0,,80,,18.3,16.1,1001.5,,1012.7,,,9,,9,,,9,7,,29,4221,,,20.2,,,,,
137,상주,2026-06-17 06:00,20.4,,,,.5,,50,,76,,18.2,16,1001.5,,1012.7,,.1,,.06,,,,9,8,,27,3935,,,21.2,,,,,
137,상주,2026-06-17 07:00,21.3,,,,1,,70,,73,,18.4,16.2,1001.3,,1012.5,,.3,,.49,,,,6,6,,27,3687,,,23.2,,,,,
137,상주,2026-06-17 08:00,22.7,,,,.7,,20,,68,,18.6,16.4,1001.1,,1012.2,,.5,,1.11,,,,9,9,,27,3932,,,28.8,,,,,
137,상주,2026-06-17 09:00,25,,,,.8,,90,,63,,19.9,17.4,1001.3,,1012.3,,.8,,1.99,,,,7,4,,28,3307,,,36.9,,,,,
137,상주,2026-06-17 10:00,26.7,,,,.9,,110,,61,,21.3,18.5,1000.7,,1011.6,,.5,,2.22,,,,8,8,,28,3892,,,40.8,,,,,
137,상주,2026-06-17 11:00,28,,,,1.5,,20,,57,,21.4,18.6,1000,,1010.9,,.7,,2.49,,,,1,0,,,4035,,,45.8,,,,,
137,상주,2026-06-17 12:00,29.2,,,,1.1,,200,,53,,21.4,18.6,999.5,,1010.3,,1,,3.46,,,,1,0,,,4252,,,51.9,,,,,
137,상주,2026-06-17 13:00,30.8,,,,.7,,110,,49,,21.7,18.8,998.5,,1009.3,,1,,3.51,,,,6,0,,,4206,,,55,,,,,
137,상주,2026-06-17 14:00,30.9,,,,1,,50,,48,,21.4,18.6,997.9,,1008.7,,.5,,2.76,,,,7,0,,,4419,,,53.7,,,,,
137,상주,2026-06-17 15:00,31.8,,,,1.5,,230,,45,,21,18.3,997.2,,1007.9,,.3,,2.07,,,,7,2,,36,4432,,,50.6,,,,,
137,상주,2026-06-17 16:00,31.4,,,,1.5,,230,,47,,21.6,18.7,996.8,,1007.5,,.3,,1.7,,,,4,1,,17,4416,,,48,,,,,
137,상주,2026-06-17 17:00,30.2,,,,1,,230,,51,,21.8,18.9,996.3,,1007.1,,.2,,1.05,,,,9,1,,17,4868,,,41.8,,,,,
137,상주,2026-06-17 18:00,29.4,,,,.6,,200,,54,,22.1,19.1,996.2,,1007,,0,,.24,,,,10,7,,20,4869,,,36.4,,,,,
137,상주,2026-06-17 19:00,23.5,,1.1,,2.6,,290,,85,,24.6,20.8,997.5,,1008.5,,0,,0,,,,10,6,,16,1033,,,27.9,,,,,
137,상주,2026-06-17 20:00,22.5,,4.6,,.7,,180,,92,,25,21.1,998.1,,1009.2,,0,,0,,,,10,2,,3,232,,,25.3,,,,,
137,상주,2026-06-17 21:00,22.2,,2.4,,1,,230,,94,,25,21.1,998.5,,1009.6,,,9,,9,,,10,2,,4,371,,,24.7,,,,,
137,상주,2026-06-17 22:00,22.1,,7.5,,.6,,180,,95,,25.2,21.2,998.8,,1009.9,,,9,,9,,,10,3,,3,190,,,23.7,,,,,
137,상주,2026-06-17 23:00,21.7,,4,,.7,,290,,96,,24.9,21,998.3,,1009.4,,,9,,9,,,10,2,,,483,,,23.6,,,,,
137,상주,2026-06-18 00:00,22,,.3,,0,,0,,97,,25.5,21.4,998.2,,1009.3,,,9,,9,,,10,8,,,694,,,23.8,,,,,
138,포항,2026-06-17 01:00,21.7,,,,1.5,,250,,82,,21.2,18.4,1013.5,,1014,,,9,,9,,,0,0,,,2168,,,22.2,,24.5,25.7,25.5,24.6
138,포항,2026-06-17 02:00,20.9,,,,.2,,0,,80,,19.7,17.3,1013.2,,1013.7,,,9,,9,,,0,0,,,1809,,,21.2,,23.9,25.3,25.3,24.6
138,포항,2026-06-17 03:00,20.6,,,,.6,,340,,84,,20.2,17.7,1012.9,,1013.4,,,9,,9,,,0,0,,,3290,,,20.6,,23.3,24.9,25.1,24.5
138,포항,2026-06-17 04:00,20.1,,,,.8,,270,,84,,19.7,17.3,1012.5,,1013,,,9,,9,,,0,0,,,4099,,,20.1,,22.8,24.5,24.9,24.4
138,포항,2026-06-17 05:00,19.9,,,,.9,,270,,84,,19.5,17.1,1012.5,,1013,,,9,,9,,,0,0,,,4004,,,20,,22.4,24.2,24.7,24.3
138,포항,2026-06-17 06:00,19.9,,,,0,,0,,84,,19.5,17.1,1012.5,,1013,,.4,,.11,,,,0,0,,,3709,,,20.4,,22.2,23.9,24.5,24.2
138,포항,2026-06-17 07:00,21.3,,,,.6,,50,,85,,21.4,18.6,1012.6,,1013.1,,1,,.66,,,,3,0,,,2717,,,22.6,,22.7,23.6,24.3,24.2
138,포항,2026-06-17 08:00,22.2,,,,1.2,,360,,81,,21.6,18.7,1012.5,,1013,,.4,,.61,,,,8,8,,9,2197,,,24.6,,23.6,23.6,24.1,24.1
138,포항,2026-06-17 09:00,23.1,,,,1.8,,180,,75,,21.2,18.4,1012.5,,1013,,0,,.36,,,,8,8,,7,3593,,,25.5,,24,23.7,24,24
138,포항,2026-06-17 10:00,24,,,,1.6,,70,,77,,22.9,19.7,1011.8,,1012.3,,0,,.66,,,,8,8,,7,3456,,,28.8,,24.4,23.8,24,23.9
138,포항,2026-06-17 11:00,24.6,,,,2.6,,20,,73,,22.5,19.4,1011.8,,1012.3,,.1,,1.48,,,,9,9,,8,3986,,,33.3,,25.6,24.1,23.9,23.8
138,포항,2026-06-17 12:00,25.3,,,,2.7,,70,,74,,23.8,20.3,1011.5,,1012,,.4,,2.02,,,,8,8,,8,4059,,,36.2,,27.1,24.5,24,23.8
138,포항,2026-06-17 13:00,26.2,,,,4,,110,,69,,23.4,20,1010.7,,1011.1,,.3,,1.72,,,,9,9,,7,4473,,,37.3,,27.9,25.1,24.1,23.8
138,포항,2026-06-17 14:00,27.3,,,,3.5,,140,,65,,23.5,20.1,1010.1,,1010.5,,.4,,1.92,,,,8,4,,8,3946,,,38.3,,28.8,25.6,24.3,23.8
138,포항,2026-06-17 15:00,27.5,,,,3.2,,90,,64,,23.4,20,1009.9,,1010.3,,.3,,1.51,,,,8,4,,10,4014,,,36.4,,29.2,26.1,24.6,23.8
138,포항,2026-06-17 16:00,28.1,,,,5.7,,110,,61,,23.1,19.8,1008.7,,1009.1,,.9,,2.23,,,,2,2,,11,3681,,,40.2,,29.9,26.5,24.8,23.9
138,포항,2026-06-17 17:00,27.8,,,,4.8,,110,,61,,22.7,19.5,1008.3,,1008.7,,1,,1.86,,,,3,0,,,3999,,,39.4,,30.4,27,25,24
138,포항,2026-06-17 18:00,27.4,,,,4.3,,160,,60,,21.8,18.9,1008.4,,1008.8,,.9,,1.03,,,,8,3,,38,4559,,,34.7,,30.3,27.3,25.3,24.1
138,포항,2026-06-17 19:00,25.7,,,,5.1,,160,,65,,21.4,18.6,1008.7,,1009.1,,.1,,.3,,,,8,8,,35,4820,,,30.1,,29.3,27.4,25.5,24.2
138,포항,2026-06-17 20:00,25.1,,,,3.3,,160,,67,,21.3,18.5,1009,,1009.5,,0,,.03,,,,10,7,,29,3715,,,27.8,,28.2,27.2,25.6,24.3
138,포항,2026-06-17 21:00,25.1,,,,1.4,,230,,66,,20.9,18.2,1008.9,,1009.4,,,9,,9,,,10,7,,,4761,,,26.7,,27.3,26.9,25.7,24.3
138,포항,2026-06-17 22:00,25,,,,2.2,,230,,67,,21.2,18.4,1009.3,,1009.8,,,9,,9,,,10,10,,20,4917,,,26.2,,26.7,26.6,25.6,24.4
138,포항,2026-06-17 23:00,24.9,,,,2.1,,250,,67,,21,18.3,1009,,1009.5,,,9,,9,,,9,8,,27,4532,,,25.7,,26.2,26.3,25.6,24.4
138,포항,2026-06-18 00:00,24.5,,0,,1.6,,250,,69,,21.2,18.4,1009.1,,1009.6,,,9,,9,,,10,1,,,4874,,01,25.3,,25.8,26,25.4,24.4
271,봉화,2026-06-17 01:00,15.1,,,,.2,,0,,90,,15.4,13.4,977.8,,1015.8,,,9,,9,,,0,0,,,2778,,,17.1,,,,,
271,봉화,2026-06-17 02:00,14.3,,,,.4,,0,,91,,14.8,12.8,977.7,,1015.8,,,9,,9,,,0,0,,,2324,,,16.1,,,,,
271,봉화,2026-06-17 03:00,13.7,,,,.9,,320,,93,,14.5,12.5,977.4,,1015.6,,,9,,9,,,0,0,,,2037,,,15.4,,,,,
271,봉화,2026-06-17 04:00,13.4,,,,.3,,0,,94,,14.4,12.4,977.1,,1015.3,,,9,,9,,,0,0,,,1769,,,14.8,,,,,
271,봉화,2026-06-17 05:00,12.6,,,,0,,0,,96,,13.9,11.9,977.4,,1015.8,,,9,,9,,,0,0,,,1224,,,14.1,,,,,
271,봉화,2026-06-17 06:00,13.2,,,,0,,0,,95,,14.4,12.4,977.1,,1015.4,,0,,,9,,,0,0,,,1787,,,14.6,,,,,
271,봉화,2026-06-17 07:00,15.8,,,9,.2,,0,,84,,15,13,976.9,,1014.8,,.7,,,9,,,0,0,,,2987,,,18.7,,,,,
271,봉화,2026-06-17 08:00,19.8,,,,1,,160,,70,,16.1,14.1,976.3,,1013.6,,1,,,9,,,0,0,,,3717,,,26,,,,,
271,봉화,2026-06-17 09:00,23.6,,,,1.3,,160,,58,,16.8,14.8,976.2,,1012.9,,1,,,9,,,0,0,,,4585,,,32.9,,,,,
271,봉화,2026-06-17 10:00,26.3,,,,1.6,,90,,51,,17.4,15.3,975.8,,1012.1,,.8,,,9,,,3,3,,35,4767,,,38.3,,,,,
271,봉화,2026-06-17 11:00,27.2,,,,2.2,,160,,47,,16.9,14.9,975.4,,1011.6,,.8,,,9,,,4,4,,37,4598,,,41.8,,,,,
271,봉화,2026-06-17 12:00,29.3,,,,2.1,,180,,39,,15.9,13.9,974.6,,1010.5,,1,,,9,,,0,0,,,4938,,,47.3,,,,,
271,봉화,2026-06-17 13:00,29.9,,,,2,,140,,32,,13.5,11.4,974,,1009.8,,.6,,,9,,,9,8,,28,4748,,,45.7,,,,,
271,봉화,2026-06-17 14:00,30.3,,,,1.9,,270,,33,,14.2,12.2,973.1,,1008.8,,.8,,,9,,,5,3,,21,4566,,,47.3,,,,,
271,봉화,2026-06-17 15:00,29.5,,,,3.8,,140,,41,,16.8,14.8,972.6,,1008.4,,.3,,,9,,,6,1,,20,4814,,,41.2,,,,,
271,봉화,2026-06-17 16:00,28.9,,,,1.5,,90,,49,,19.5,17.1,972.4,,1008.3,,0,,,9,,,8,1,,20,4319,,,36.1,,,,,
271,봉화,2026-06-17 17:00,28.4,,,,2.3,,160,,52,,20,17.5,972.2,,1008.1,,0,,,9,,,8,8,,24,4281,,,34.9,,,,,
271,봉화,2026-06-17 18:00,27.7,,,,1.6,,160,,57,,21.2,18.4,972,,1008,,0,,,9,,,10,5,,17,3840,,,31.3,,,,,
271,봉화,2026-06-17 19:00,26.8,,0,,2.3,,160,,61,,21.4,18.6,972.2,,1008.3,,0,,,9,,,9,2,,17,3346,,,28.7,,,,,
271,봉화,2026-06-17 20:00,25,,,9,.8,,50,,71,,22.4,19.3,972.5,,1008.9,,0,,,9,,,10,4,,16,2312,,,27.2,,,,,
271,봉화,2026-06-17 21:00,21.4,,10.5,,1.4,,140,,91,,23.1,19.8,973.9,,1010.8,,,9,,9,,,10,8,,8,1486,,,23.2,,,,,
271,봉화,2026-06-17 22:00,20.9,,.7,,.6,,110,,96,,23.7,20.2,974.1,,1011.1,,,9,,9,,,10,3,,13,1096,,,22.6,,,,,
271,봉화,2026-06-17 23:00,19.9,,.5,,1.8,,290,,95,,22,19,974,,1011.1,,,9,,9,,,10,8,,1,2551,,,22.1,,,,,
271,봉화,2026-06-18 00:00,19.7,,0,,1,,290,,96,,22,19,973.8,,1011,,,9,,9,,,7,7,,,2841,,,21.6,,,,,
272,영주,2026-06-17 01:00,17.5,,,,.8,,320,,85,,16.9,14.9,990.1,,1014.8,,,9,,9,,,0,0,,,3318,,,19.7,,,,,
272,영주,2026-06-17 02:00,16.7,,,,1.3,,320,,89,,16.8,14.8,989.8,,1014.5,,,9,,9,,,0,0,,,2994,,,19,,,,,
272,영주,2026-06-17 03:00,16.1,,,,.9,,320,,93,,16.9,14.9,989.5,,1014.3,,,9,,9,,,0,0,,,2584,,,18.3,,,,,
272,영주,2026-06-17 04:00,15.8,,,,1.1,,340,,93,,16.6,14.6,989.4,,1014.2,,,9,,9,,,0,0,,,2723,,,17.8,,,,,
272,영주,2026-06-17 05:00,15.7,,,,1.2,,320,,93,,16.5,14.5,989.7,,1014.5,,,9,,9,,,0,0,,,2565,,,17.3,,,,,
272,영주,2026-06-17 06:00,16.8,,,,1.6,,340,,89,,16.9,14.9,989.5,,1014.2,,.3,,,9,,,0,0,,,2555,,,18,,,,,
272,영주,2026-06-17 07:00,19.6,,,,1,,160,,77,,17.5,15.4,989.1,,1013.6,,1,,,9,,,0,0,,,3331,,,22,,,,,
272,영주,2026-06-17 08:00,22.3,,,,.2,,0,,63,,16.9,14.9,988.8,,1013,,1,,,9,,,0,0,,,3944,,,29.3,,,,,
272,영주,2026-06-17 09:00,23.7,,,,1.1,,140,,60,,17.5,15.4,988.6,,1012.7,,1,,,9,,,6,0,,,3825,,,35.3,,,,,
272,영주,2026-06-17 10:00,25.7,,,,1.8,,110,,58,,19.1,16.8,988.6,,1012.5,,.7,,,9,,,7,6,,36,3937,,,42,,,,,
272,영주,2026-06-17 11:00,27.6,,,,1.5,,90,,53,,19.5,17.1,987.9,,1011.6,,.9,,,9,,,1,1,,29,3627,,,49,,,,,
272,영주,2026-06-17 12:00,29.2,,,,1.1,,180,,43,,17.4,15.3,987.2,,1010.7,,1,,,9,,,1,0,,,4029,,,54.2,,,,,
272,영주,2026-06-17 13:00,30.7,,,,1.8,,110,,38,,16.7,14.7,986.6,,1010,,1,,,9,,,5,1,,29,4653,,,56.6,,,,,
